SITE_ID,timestamp,DOY,TOD,CO2_F_MDS,G_F_MDS,H_F_MDS,LE_F_MDS,LW_IN_F,LW_OUT,NETRAD,PA_F,PPFD_IN,PPFD_OUT,P_F,RH,SW_IN_F,SW_OUT,TA_F,USTAR,VPD_F,WD,WS_F,MODIS_band_1,MODIS_band_2,MODIS_band_3,MODIS_band_4,MODIS_band_5,MODIS_band_6,MODIS_band_7,MODIS_snow,MODIS_water,NEE_VUT_REF
FI-Lom,21/02/2009 00:00,-0.721311475,-1,-0.29912725,-0.166886667,-0.166542358,-0.166676541,-0.378515,-0.324650476,-0.175806667,0.0965,-0.437503125,,-0.5,0.34785,-0.5,-0.452359524,-0.05946875,,-0.495890909,0.086111111,-0.43578,,,,,,,,,,0.03603705
FI-Lom,21/02/2009 01:00,-0.721311475,-0.916666667,-0.29949425,-0.166886667,-0.166729209,-0.1666527,-0.366654,-0.32293,-0.16886,0.096538462,-0.437501563,,-0.5,0.36595,-0.5,-0.452361905,-0.056125,,-0.496222727,0.05,-0.436695,,,,,,,,,,0.0387405
FI-Lom,21/02/2009 02:00,-0.721311475,-0.833333333,-0.299593,-0.166886667,-0.166857867,-0.166628504,-0.36534375,-0.322097619,-0.167786667,0.096461538,-0.437501563,,-0.5,0.3776,-0.5,-0.452340476,-0.05353125,,-0.496440909,0.030555556,-0.435955,,,,,,,,,,0.02269035
FI-Lom,21/02/2009 03:00,-0.721311475,-0.75,-0.29978225,-0.16689,-0.166873369,-0.166625019,-0.36466825,-0.321575238,-0.167636667,0.096192308,-0.4375,,-0.5,0.3884,-0.499995,-0.452328571,-0.052625,,-0.496718182,0.061111111,-0.43992,,,,,,,,,,0.0220878
FI-Lom,21/02/2009 04:00,-0.721311475,-0.666666667,-0.30005025,-0.16689,-0.167304393,-0.166592815,-0.36362725,-0.32075381,-0.167678333,0.095769231,-0.4375,,-0.5,0.40395,-0.5,-0.45235,-0.050125,,-0.497081818,0.030555556,-0.42822,,,,,,,,,,-0.01040245
FI-Lom,21/02/2009 05:00,-0.721311475,-0.583333333,-0.300356,-0.166886667,-0.167733743,-0.16660343,-0.362426,-0.319727619,-0.167525,0.095538462,-0.4375,,-0.499933333,0.40985,-0.5,-0.452359524,-0.0473125,,-0.497168182,0.044444444,-0.4336,,,,,,,,,,-0.02423045
FI-Lom,21/02/2009 06:00,-0.721311475,-0.5,-0.3004815,-0.16689,-0.168334612,-0.166586784,-0.36122975,-0.318660476,-0.167471667,0.095461538,-0.4375,,-0.4999,0.42085,-0.5,-0.45235,-0.04428125,,-0.497413636,0.030555556,-0.436925,,,,,,,,,,-0.0600989
FI-Lom,21/02/2009 07:00,-0.721311475,-0.416666667,-0.30027175,-0.16689,-0.167345435,-0.166863202,-0.3608785,-0.318242143,-0.1675,0.095115385,-0.437471875,,-0.499666667,0.4102,-0.499855,-0.452211905,-0.04253125,-0.4481224,-0.497004545,0.002777778,-0.44033,,,,,,,,,,-0.0600989
FI-Lom,21/02/2009 08:00,-0.721311475,-0.333333333,-0.300292,-0.16689,-0.168353333,-0.166585217,-0.36098825,-0.318300238,-0.167393333,0.094884615,-0.435001563,,-0.499733333,0.41265,-0.497485,-0.45017381,-0.04275,,-0.497095455,0.016666667,-0.43457,,,,,,,,,,-0.0631766
FI-Lom,21/02/2009 09:00,-0.721311475,-0.25,-0.3006125,-0.16689,-0.167360563,-0.166531248,-0.36078975,-0.318045952,-0.166281667,0.094576923,-0.418121875,,-0.499933333,0.40955,-0.481475,-0.436864286,-0.0419375,,-0.496959091,0.047222222,-0.42566,,,,,,,,,,-0.10758
FI-Lom,21/02/2009 10:00,-0.721311475,-0.166666667,-0.300821,-0.16689,-0.16770396,-0.166666881,-0.35970825,-0.317057857,-0.165978333,0.094269231,-0.3993,,-0.5,0.41035,-0.466115,-0.424211905,-0.03909375,,-0.496881818,0.069444444,-0.42707,,,,,,,,,,0.01785215
FI-Lom,21/02/2009 12:00,-0.721311475,0,-0.30117475,-0.16689,-0.167446868,-0.166646079,-0.35896825,-0.316254762,-0.166103333,0.094269231,-0.400040625,,-0.499933333,0.40025,-0.46915,-0.426242857,-0.03628125,,-0.496404545,0.069444444,-0.434115,0.33462976,0.336584179,0.363818725,0.325275007,0.189484008,0.07480006,0.02646769,0.999999996,0,-0.05253965
FI-Lom,21/02/2009 13:00,-0.721311475,0.083333333,-0.30084375,-0.16689,-0.167699778,-0.166617553,-0.35863,-0.31587,-0.167791667,0.094076923,-0.407128125,,-0.5,0.4013,-0.4755825,-0.431571429,-0.03478125,,-0.496377273,0.077777778,-0.43587,,,,,,,,,,-0.0550779
FI-Lom,21/02/2009 14:00,-0.721311475,0.166666667,-0.2997575,-0.16689,-0.167866897,-0.1665037,-0.3587215,-0.315548571,-0.167466667,0.093961538,-0.412135938,,-0.5,0.38985,-0.4789475,-0.434428571,-0.0336875,,-0.495904545,0.013888889,-0.43636,,,,,,,,,,-0.129459
FI-Lom,21/02/2009 15:00,-0.721311475,0.25,-0.29964075,-0.16689,-0.1679322,-0.166502961,-0.3592855,-0.315887381,-0.167303333,0.093576923,-0.422204688,,-0.5,0.37685,-0.4865075,-0.440888095,-0.0340625,,-0.495440909,0.002777778,-0.427825,,,,,,,,,,-0.1368005
FI-Lom,21/02/2009 16:00,-0.721311475,0.333333333,-0.29960075,-0.16689,-0.168669685,-0.166501563,-0.3596485,-0.31629619,-0.167651667,0.093115385,-0.432157813,,-0.5,0.3748,-0.4945475,-0.447780952,-0.035125,,-0.495422727,0.008333333,-0.428505,,,,,,,,,,-0.105261
FI-Lom,21/02/2009 17:00,-0.721311475,0.416666667,-0.29964825,-0.16689,-0.167697703,-0.166157255,-0.35965525,-0.316428333,-0.167988333,0.092807692,-0.437365625,,-0.5,0.38245,-0.49983,-0.45215,-0.0356875,-0.440941,-0.495736364,-0.030555556,-0.42896,,,,,,,,,,-0.10225285
FI-Lom,21/02/2009 18:00,-0.721311475,0.5,-0.2997275,-0.16689,-0.167610726,-0.166182371,-0.359888,-0.316740476,-0.167901667,0.092346154,-0.4375,,-0.5,0.38375,-0.499985,-0.452288095,-0.03646875,-0.434935,-0.495822727,-0.002777778,-0.42729,,,,,,,,,,-0.34068135
FI-Lom,21/02/2009 19:00,-0.721311475,0.583333333,-0.29980925,-0.16689,-0.168668787,-0.166478701,-0.36016725,-0.317062619,-0.167936667,0.091923077,-0.4375,,-0.5,0.38705,-0.4999875,-0.452295238,-0.0375625,,-0.495995455,0.011111111,-0.432875,,,,,,,,,,-0.0930478
