SITE_ID,timestamp,DOY,TOD,CO2_F_MDS,G_F_MDS,H_F_MDS,LE_F_MDS,LW_IN_F,LW_OUT,NETRAD,PA_F,PPFD_IN,PPFD_OUT,P_F,RH,SW_IN_F,SW_OUT,TA_F,USTAR,VPD_F,WD,WS_F,MODIS_band_1,MODIS_band_2,MODIS_band_3,MODIS_band_4,MODIS_band_5,MODIS_band_6,MODIS_band_7,MODIS_snow,MODIS_water,NEE_VUT_REF
GL-ZaF,01/05/2011 18:00,-0.344262295,0.5,-0.29997225,,-0.17197285,-0.16460541,,,,,-0.21984375,,-0.5,,-0.32795,,-0.00606875,,-0.476095455,,,,,,,,,,,,-0.256953
GL-ZaF,01/05/2011 19:00,-0.344262295,0.583333333,-0.3005015,,-0.176759183,-0.161942533,,,,,-0.211875,,-0.5,,-0.33415,,-0.011009375,,-0.480790909,,,,,,,,,,,,-0.315061
GL-ZaF,02/05/2011 08:00,-0.338797814,-0.333333333,-0.2997795,,-0.17125315,-0.164980777,,,,,-0.231875,,-0.5,,-0.3261,,-0.016328125,,-0.480240909,,,,,,,,,,,,-0.2366435
GL-ZaF,02/05/2011 09:00,-0.338797814,-0.25,-0.298376,,-0.169692713,-0.165547963,,,,,-0.18703125,,-0.5,,-0.2904,,-0.013725,,-0.479559091,,,,,,,,,,,,-0.2320485
GL-ZaF,02/05/2011 10:00,-0.338797814,-0.166666667,-0.2969145,,-0.167774322,-0.164975262,,,,,-0.1484375,,-0.5,,-0.260975,,-0.0052125,,-0.475418182,,,,,,,,,,,,-0.1646405
GL-ZaF,02/05/2011 16:00,-0.338797814,0.333333333,-0.29750425,,-0.168263918,-0.165308802,,,,,-0.17703125,,-0.5,,-0.280425,,-0.010871875,,-0.479304545,,,,,,,,,,,,-0.202198
GL-ZaF,02/05/2011 17:00,-0.338797814,0.416666667,-0.29879825,,-0.171337467,-0.165200358,,,,,-0.2203125,,-0.5,,-0.31595,,-0.021178125,,-0.482663636,,,,,,,,,,,,-0.2366435
GL-ZaF,02/05/2011 19:00,-0.338797814,0.583333333,-0.298033,,-0.172252117,-0.165304658,,,,,-0.3171875,,-0.5,,-0.39505,,-0.034421875,,-0.486918182,,,,,,,,,,,,-0.0512255
GL-ZaF,03/05/2011 08:00,-0.333333333,-0.333333333,-0.29875775,,-0.170991367,-0.16518301,,,,,-0.2309375,,-0.5,,-0.3238,,-0.014415625,,-0.483981818,,,,,,,,,,,,-0.2366435
GL-ZaF,03/05/2011 09:00,-0.333333333,-0.25,-0.297605,,-0.16875829,-0.165732423,,,,,-0.18625,,-0.5,,-0.2895,,-0.0123875,,-0.482654545,,,,,,,,,,,,-0.2320485
GL-ZaF,03/05/2011 16:00,-0.333333333,0.333333333,-0.29743275,,-0.1694659,-0.16402421,,,,,-0.218125,,-0.5,,-0.318225,,-0.012290625,,-0.482877273,,,,,,,,,,,,-0.1132751
GL-ZaF,03/05/2011 17:00,-0.333333333,0.416666667,-0.298481,,-0.169815603,-0.165268418,,,,,-0.21609375,,-0.5,,-0.3084,,-0.0144625,,-0.484186364,,,,,,,,,,,,-0.23214
GL-ZaF,03/05/2011 18:00,-0.333333333,0.5,-0.297248,,-0.1707245,-0.1626503,,,,,-0.2896875,,-0.5,,-0.355325,,-0.017221875,,-0.483668182,,,,,,,,,,,,-0.010805225
GL-ZaF,03/05/2011 19:00,-0.333333333,0.583333333,-0.296365,,-0.169997515,-0.163509383,,,,,-0.32015625,,-0.5,,-0.394975,,-0.022046875,,-0.48665,,,,,,,,,,,,-0.0535151
GL-ZaF,04/05/2011 07:00,-0.327868852,-0.416666667,-0.2968995,,-0.170533517,-0.162279083,,,,,-0.27625,,-0.5,,-0.3601,,-0.0166875,,-0.483627273,,,,,,,,,,,,-0.010805225
GL-ZaF,04/05/2011 08:00,-0.327868852,-0.333333333,-0.2981135,,-0.17049245,-0.164902305,,,,,-0.226875,,-0.5,,-0.320475,,-0.015803125,,-0.483977273,,,,,,,,,,,,-0.1677215
GL-ZaF,04/05/2011 09:00,-0.327868852,-0.25,-0.29783375,,-0.168301633,-0.165414563,,,,,-0.1834375,,-0.5,,-0.285875,,-0.01095,,-0.482027273,,,,,,,,,,,,-0.202198
GL-ZaF,04/05/2011 17:00,-0.327868852,0.416666667,-0.30285375,,-0.168096127,-0.166871183,,,,,-0.21515625,,-0.5,,-0.30805,,-0.0144625,-0.497795,-0.484186364,,,,,,,,,,,,-0.2524495
GL-ZaF,04/05/2011 18:00,-0.327868852,0.5,-0.302339,,-0.166271375,-0.166807575,,,,,-0.29109375,,-0.5,,-0.34768125,,-0.005478125,-0.49887,-0.478227273,,,,,,,,,,,,-0.1334315
GL-ZaF,04/05/2011 19:00,-0.327868852,0.583333333,-0.2960205,,-0.169986297,-0.16393488,,,,,-0.30671875,,-0.5,,-0.385325,,-0.0162375,,-0.489154545,,,,,,,,,,,,0.08701585
GL-ZaF,04/05/2011 20:00,-0.327868852,0.666666667,-0.2983875,,-0.17262668,-0.164095613,,,,,-0.3659375,,-0.5,,-0.4088875,,-0.012446875,,-0.485245455,,,,,,,,,,,,-0.04891085
GL-ZaF,05/05/2011 05:00,-0.322404372,-0.583333333,-0.295675,,-0.170719813,-0.16497224,,,,,-0.35875,,-0.5,,-0.434975,,-0.019171875,,-0.490809091,,,,,,,,,,,,0.0009453
GL-ZaF,05/05/2011 06:00,-0.322404372,-0.5,-0.2984595,,-0.170735933,-0.164952932,,,,,-0.32875,,-0.5,,-0.3980875,,-0.0241125,,-0.48925,,,,,,,,,,,,0.04319845
