SITE_ID,timestamp,DOY,TOD,CO2_F_MDS,G_F_MDS,H_F_MDS,LE_F_MDS,LW_IN_F,LW_OUT,NETRAD,PA_F,PPFD_IN,PPFD_OUT,P_F,RH,SW_IN_F,SW_OUT,TA_F,USTAR,VPD_F,WD,WS_F,MODIS_band_1,MODIS_band_2,MODIS_band_3,MODIS_band_4,MODIS_band_5,MODIS_band_6,MODIS_band_7,MODIS_snow,MODIS_water,NEE_VUT_REF
DE-Akm,25/03/2020 08:00,-0.540983607,-0.333333333,-0.290932,,,-0.151174717,-0.384075,-0.300485714,-0.117253333,,-0.275925,-0.4221875,,-0.00705,-0.3575,-0.428745238,0.008375,,-0.468872727,,,,,,,,,,,,-0.9125
DE-Akm,25/03/2020 09:00,-0.540983607,-0.25,-0.2913925,,-0.118728833,-0.146307217,-0.3790525,-0.294630952,-0.061488333,,-0.168059375,-0.416034375,,-0.1228,-0.2646525,-0.421057143,0.02271875,,-0.455022727,,,,,,,,,,,,-1.085896
DE-Akm,25/03/2020 10:00,-0.540983607,-0.166666667,-0.29143775,,-0.122015833,-0.146995333,-0.37242,-0.291916667,-0.055223333,,-0.1636625,-0.417107812,,-0.15825,-0.2620825,-0.423957143,0.02884375,,-0.449159091,,,,,,,,,,,,-1.4075
DE-Akm,25/03/2020 15:00,-0.540983607,0.25,-0.29230475,,-0.127951667,-0.1532515,-0.370935,-0.282438095,-0.091036667,,-0.22551875,-0.421071875,,-0.22755,-0.31157,-0.427988095,0.05115625,,-0.428118182,,,,,,,,,,,,-0.66375
DE-Akm,25/03/2020 17:00,-0.540983607,0.416666667,-0.29327175,,-0.160355833,-0.15849875,-0.377415,-0.28997619,-0.170176667,,-0.381485938,-0.432884375,,-0.08565,-0.4484175,-0.443897619,0.04290625,,-0.4466,,,,,,,,,,,,0.40375
DE-Akm,26/03/2020 06:00,-0.535519126,-0.5,-0.29257475,,-0.167765833,-0.161861833,-0.3872275,-0.307702381,-0.182083333,,-0.413625,-0.435425,,0.1752,-0.47621,-0.444978571,0.002125,,-0.481504545,,,,,,,,,,,,0.492
DE-Akm,26/03/2020 07:00,-0.535519126,-0.416666667,-0.291877,,,-0.158145133,-0.38548,-0.301780952,-0.149363333,,-0.343329688,-0.428820312,,0.10485,-0.4107125,-0.4336,0.01575,,-0.473581818,,,,,,,,,,,,-0.0896665
DE-Akm,26/03/2020 08:00,-0.535519126,-0.333333333,-0.29205375,,-0.13179055,-0.153253333,-0.3838425,-0.296604762,-0.107188333,,-0.25314375,-0.420339063,,0.06045,-0.33351,-0.423935714,0.025375,,-0.467354545,,,,,,,,,,,,-1.092
DE-Akm,26/03/2020 09:00,-0.535519126,-0.25,-0.29077225,,-0.123348333,-0.148392767,-0.381595,-0.291828571,-0.066681667,,-0.169582812,-0.41611875,,-0.00655,-0.2659325,-0.420080952,0.0321875,,-0.459309091,,,,,,,,,,,,-0.3316665
DE-Akm,26/03/2020 11:00,-0.535519126,-0.083333333,-0.29430825,,-0.095626167,-0.144752217,-0.3736225,-0.282588095,-0.019456667,,-0.068885937,-0.410601562,,-0.2058,-0.1871225,-0.414135714,0.0485,,-0.432227273,,,,,,,,,,,,-1.600835
