SITE_ID,timestamp,DOY,TOD,CO2_F_MDS,G_F_MDS,H_F_MDS,LE_F_MDS,LW_IN_F,LW_OUT,NETRAD,PA_F,PPFD_IN,PPFD_OUT,P_F,RH,SW_IN_F,SW_OUT,TA_F,USTAR,VPD_F,WD,WS_F,MODIS_band_1,MODIS_band_2,MODIS_band_3,MODIS_band_4,MODIS_band_5,MODIS_band_6,MODIS_band_7,MODIS_snow,MODIS_water,NEE_VUT_REF
FR-LGt,01/01/2022 00:00,-1,-1,-0.23825475,-0.171248867,-0.166267029,-0.166289048,-0.35577725,-0.300883333,,0.122353846,-0.4375,,-0.5,0.4996005,-0.5,-0.452921324,0.017184375,-0.49507,-0.499977273,-0.190449167,-0.49873,,,,,,,,,,1.236405
FR-LGt,01/01/2022 01:00,-1,-0.916666667,-0.2383875,-0.171097,-0.166929387,-0.166712893,-0.35799375,-0.301746429,,0.122142308,-0.4375,,-0.5,0.4997075,-0.5,-0.452849362,0.013678125,-0.49755,-0.499981818,-0.778489722,-0.49805,,,,,,,,,,0.432034
FR-LGt,01/01/2022 02:00,-1,-0.833333333,-0.23774025,-0.171260633,-0.166731009,-0.166618898,-0.35866625,-0.301869048,,0.1218,-0.4375,,-0.5,0.4996005,-0.5,-0.452870971,0.01415,-0.49611,-0.499972727,-0.745015833,-0.49824,,,,,,,,,,0.830342
FR-LGt,01/01/2022 03:00,-1,-0.75,-0.25571725,-0.171132583,-0.166858257,-0.166626987,-0.35870425,-0.302035952,,0.12165,-0.4375,,-0.5,0.4994935,-0.5,-0.452891831,0.014765625,-0.49704,-0.499963636,-0.821481722,-0.497755,,,,,,,,,,1.22865
FR-LGt,01/01/2022 04:00,-1,-0.666666667,-0.2600425,-0.170963833,-0.167266609,-0.166639308,-0.35648425,-0.300964762,,0.121396154,-0.4375,,-0.5,0.499695,-0.5,-0.452883886,0.019028125,-0.496735,-0.499981818,-0.749554167,-0.49747,,,,,,,,,,1.176915
FR-LGt,01/01/2022 05:00,-1,-0.583333333,-0.277041,-0.170756417,-0.169237015,-0.16655364,-0.3549725,-0.300027143,,0.121038462,-0.4375,,-0.5,0.4995565,-0.5,-0.452944943,0.024384375,-0.49655,-0.499968182,-0.778681944,-0.49764,,,,,,,,,,1.16106
FR-LGt,01/01/2022 06:00,-1,-0.5,-0.27970375,-0.170499383,-0.16687251,-0.166513817,-0.35548475,-0.299504048,,0.120965385,-0.4375,,-0.5,0.4997155,-0.5,-0.452925574,0.025878125,-0.49459,-0.499977273,-0.846358889,-0.497825,,,,,,,,,,1.12378
FR-LGt,01/01/2022 07:00,-1,-0.416666667,-0.2781775,-0.17065435,-0.166404817,-0.166484192,-0.3583325,-0.300275952,,0.120876923,-0.4375,,-0.5,0.4996935,-0.5,-0.452950138,0.024653125,-0.49566,-0.499977273,-0.752983333,-0.49633,,,,,,,,,,1.16106
FR-LGt,01/01/2022 08:00,-1,-0.333333333,-0.2805785,-0.169970582,-0.16859513,-0.166577619,-0.3585425,-0.29981381,,0.1209,-0.434204416,,-0.5,0.499644,-0.4980045,-0.452458653,0.024478125,-0.49474,-0.499972727,-0.742516111,-0.496715,,,,,,,,,,1.0381005
FR-LGt,01/01/2022 09:00,-1,-0.25,-0.28394575,-0.16945446,-0.162828083,-0.165665162,-0.3586,-0.297151429,,0.121146154,-0.405077031,,-0.5,0.4997035,-0.4787915,-0.450016507,0.029528125,-0.4933,-0.499977273,0.200303889,-0.49859,,,,,,,,,,1.036422
FR-LGt,01/01/2022 12:00,-1,0,-0.29200625,-0.161764217,-0.160026767,-0.15345555,-0.35102975,-0.26919619,,0.1209,-0.244832344,,-0.5,0.18275,-0.33708675,-0.422215738,0.0834,-0.4875303,-0.455786364,-0.096809167,-0.49427,0.033619089,0.147526728,0.017274684,0.031724512,0.176374964,0.103592971,0.052386042,0,0,-0.3124185
FR-LGt,01/01/2022 13:00,-1,0.083333333,-0.292736,-0.157758833,-0.156265317,-0.149093033,-0.3498735,-0.266108095,,0.120619231,-0.246764688,,-0.5,0.0838545,-0.336892,-0.422121357,0.091409375,-0.48585675,-0.43685,0.255011111,-0.490595,,,,,,,,,,-0.3775945
FR-LGt,01/01/2022 14:00,-1,0.166666667,-0.293973,-0.158761617,-0.164379647,-0.153680067,-0.34562375,-0.266725952,,0.12005,-0.302035,,-0.5,0.0196235,-0.3859075,-0.432158595,0.096434375,-0.48544185,-0.423418182,0.277519444,-0.489895,,,,,,,,,,-0.0009
FR-LGt,01/01/2022 15:00,-1,0.25,-0.292674,-0.1626171,-0.170198823,-0.1544613,-0.34830275,-0.269758095,,0.119984615,-0.340440469,,-0.5,0.0601635,-0.407108,-0.435172,0.09435625,-0.4874105,-0.431277273,0.256905556,-0.494385,,,,,,,,,,2.308595
FR-LGt,01/01/2022 16:00,-1,0.333333333,-0.28498875,-0.16617954,-0.165534677,-0.163470182,-0.3510445,-0.281145952,,0.120007692,-0.406376047,,-0.5,0.2634995,-0.4723955,-0.447757752,0.075471875,-0.4923921,-0.4683,-0.700848333,-0.497285,,,,,,,,,,0.599354
FR-LGt,01/01/2022 17:00,-1,0.416666667,-0.27188725,-0.171441702,-0.17246565,-0.166422562,-0.35565725,-0.293142619,,0.119969231,-0.435777082,,-0.5,0.453975,-0.4997635,-0.452944414,0.04900625,-0.49742,-0.49545,-0.711850278,-0.495935,,,,,,,,,,1.101325
