SITE_ID,timestamp,DOY,TOD,CO2_F_MDS,G_F_MDS,H_F_MDS,LE_F_MDS,LW_IN_F,LW_OUT,NETRAD,PA_F,PPFD_IN,PPFD_OUT,P_F,RH,SW_IN_F,SW_OUT,TA_F,USTAR,VPD_F,WD,WS_F,MODIS_band_1,MODIS_band_2,MODIS_band_3,MODIS_band_4,MODIS_band_5,MODIS_band_6,MODIS_band_7,MODIS_snow,MODIS_water,NEE_VUT_REF
UK-AMo,16/11/2021 17:00,0.743169399,0.416666667,-0.2883895,,-0.17582685,-0.166786488,-0.34384875,,,,,,,,-0.5,,0.02515625,,-0.490872727,,,,,,,,,,,,1.661485
UK-AMo,16/11/2021 18:00,0.743169399,0.5,-0.288403,,-0.17582155,-0.166791091,-0.34377,,,,,,,,-0.5,,0.02515625,,-0.490872727,,,,,,,,,,,,1.661075
UK-AMo,16/11/2021 19:00,0.743169399,0.583333333,-0.28841425,,-0.17582455,-0.166791091,-0.3437195,,,,,,,,-0.5,,0.02515625,,-0.490872727,,,,,,,,,,,,1.66141
UK-AMo,16/11/2021 20:00,0.743169399,0.666666667,-0.288422,,-0.175831333,-0.166794258,-0.343695,,,,,,,,-0.5,,0.02515625,,-0.490872727,,,,,,,,,,,,1.663845
UK-AMo,16/11/2021 21:00,0.743169399,0.75,-0.288429,,-0.1757985,-0.166796983,-0.34360275,,,,,,,,-0.5,,0.02515625,,-0.490872727,,,,,,,,,,,,1.66307
UK-AMo,16/11/2021 22:00,0.743169399,0.833333333,-0.288435,,-0.175786017,-0.166797081,-0.343525,,,,,,,,-0.5,,0.02515625,,-0.490872727,,,,,,,,,,,,1.665265
UK-AMo,16/11/2021 23:00,0.743169399,0.916666667,-0.2884385,,-0.175738233,-0.166797179,-0.34345975,,,,,,,,-0.5,,0.02515625,,-0.490872727,,,,,,,,,,,,1.6671
UK-AMo,17/11/2021 00:00,0.74863388,-1,-0.2871425,,-0.179581667,-0.166803446,-0.3457675,-0.29312619,-0.176605,0.101307692,-0.4375,-0.437514063,-0.5,0.394,-0.5,-0.451780952,0.02515625,-0.45755,-0.490872727,0.413888889,-0.44385,,,,,,,,,,1.66644
UK-AMo,17/11/2021 01:00,0.74863388,-0.916666667,-0.2870525,,-0.175738267,-0.166406667,-0.3451425,-0.294209524,-0.175198333,0.101192308,-0.43754375,-0.437514063,-0.498666667,0.43225,-0.5,-0.451771429,0.02515625,-0.46845,-0.490872727,0.353888889,-0.46055,,,,,,,,,,1.925
UK-AMo,17/11/2021 02:00,0.74863388,-0.833333333,-0.2869225,,-0.17672,-0.166798133,-0.3635375,-0.29707381,-0.186018333,0.101846154,-0.437514063,-0.4375,-0.497,0.4299,-0.5,-0.451783333,0.02515625,-0.47335,-0.490872727,0.348611111,-0.46495,,,,,,,,,,1.63
UK-AMo,17/11/2021 03:00,0.74863388,-0.75,-0.2866925,,-0.1790052,-0.166802461,-0.36299,-0.297861905,-0.184983333,0.101076923,-0.437528125,-0.437585938,-0.499666667,0.4382,-0.5,-0.451454762,0.02515625,-0.46855,-0.490872727,0.281944444,-0.45545,,,,,,,,,,1.577905
