SITE_ID,timestamp,DOY,TOD,CO2_F_MDS,G_F_MDS,H_F_MDS,LE_F_MDS,LW_IN_F,LW_OUT,NETRAD,PA_F,PPFD_IN,PPFD_OUT,P_F,RH,SW_IN_F,SW_OUT,TA_F,USTAR,VPD_F,WD,WS_F,MODIS_band_1,MODIS_band_2,MODIS_band_3,MODIS_band_4,MODIS_band_5,MODIS_band_6,MODIS_band_7,MODIS_snow,MODIS_water,NEE_VUT_REF
SE-Htm,01/01/2016 01:00,-1,-0.916666667,-0.2929545,-0.168046792,-0.169407548,-0.166254808,-0.339293,-0.300105,-0.166574541,0.122380769,-0.4375,-0.4375,-0.498953333,0.5,-0.5,-0.452380952,0.0074375,-0.47386065,-0.5,-0.272697222,-0.48155,,,,,,,,,,1.32172
SE-Htm,01/01/2016 02:00,-1,-0.833333333,-0.292789,-0.168008667,-0.168129648,-0.166674292,-0.33766825,-0.299459524,-0.165956422,0.122407692,-0.4375,-0.4375,-0.49908,0.5,-0.5,-0.452380952,0.00911875,-0.47170395,-0.5,-0.362394444,-0.48231,,,,,,,,,,1.308435
SE-Htm,01/01/2016 03:00,-1,-0.75,-0.2925525,-0.167979583,-0.168739922,-0.166859387,-0.33713325,-0.29905,-0.165825348,0.122523077,-0.4375,-0.4375,-0.499883333,0.5,-0.5,-0.452380952,0.0101,-0.4721066,-0.5,-0.372869444,-0.481445,,,,,,,,,,1.310345
SE-Htm,01/01/2016 04:00,-1,-0.666666667,-0.291924,-0.167952208,-0.167609672,-0.166690182,-0.3379075,-0.298893333,-0.166315898,0.1225,-0.4375,-0.4375,-0.49987,0.5,-0.5,-0.452380952,0.010465625,-0.4757739,-0.5,-0.379802778,-0.48536,,,,,,,,,,1.287255
SE-Htm,01/01/2016 05:00,-1,-0.583333333,-0.2912465,-0.167927083,-0.168321578,-0.167439977,-0.338499,-0.298714048,-0.166651269,0.122465385,-0.4375,-0.4375,-0.5,0.5,-0.5,-0.452380952,0.01095,-0.48160675,-0.5,-0.375175,-0.487725,,,,,,,,,,1.272295
SE-Htm,01/01/2016 06:00,-1,-0.5,-0.2912365,-0.167897875,-0.166368443,-0.167512174,-0.3382735,-0.298284524,-0.166857083,0.122665385,-0.4375,-0.4375,-0.5,0.5,-0.5,-0.452380952,0.012596875,-0.47863245,-0.5,-0.369725833,-0.487725,,,,,,,,,,1.264085
SE-Htm,01/01/2016 07:00,-1,-0.416666667,-0.29042825,-0.167874167,-0.16583617,-0.167261581,-0.33868775,-0.299024286,-0.166756325,0.122842308,-0.4375,-0.4375,-0.5,0.5,-0.5,-0.452380952,0.010175,-0.47417715,-0.5,-0.506008056,-0.481555,,,,,,,,,,1.287085
SE-Htm,01/01/2016 08:00,-1,-0.333333333,-0.2910025,-0.167844333,-0.165965255,-0.167399897,-0.33821375,-0.298574048,-0.166466713,0.123042308,-0.436888828,-0.437465266,-0.5,0.5,-0.5,-0.452380952,0.011578125,-0.4659489,-0.5,-0.469415,-0.478995,,,,,,,,,,1.26073
SE-Htm,01/01/2016 09:00,-1,-0.25,-0.29163825,-0.167822458,-0.16578892,-0.167400612,-0.33767875,-0.297855714,-0.163813577,0.123238462,-0.431069516,-0.436603528,-0.5,0.5,-0.496684,-0.452380952,0.013753125,-0.4606796,-0.5,-0.472196667,-0.478275,,,,,,,,,,1.072745
SE-Htm,01/01/2016 10:00,-1,-0.166666667,-0.29240925,-0.167794167,-0.162535067,-0.167727475,-0.33686675,-0.29664,-0.156861867,0.123388462,-0.416450063,-0.434406705,-0.5,0.5,-0.48447175,-0.451944393,0.01703125,-0.44682495,-0.5,-0.471598611,-0.47587,,,,,,,,,,0.75891
